Operation,Iteration,RelativePath,Bytes,SHA256,SourcePath,SourceSHA256,SourceByteStart,SourceByteEndExclusive
ADD,1,evidence/2026-08-25/ADD/iteration_views/iteration_001.txt,8410,54C230E8762FB999B0B432A0E038F658B190B136331614AD239A34DDB588AE7F,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,638,9048
ADD,2,evidence/2026-08-25/ADD/iteration_views/iteration_002.txt,8410,95D2DD2942F45D8DBEA43D072A303BA0A4544CADAD3D6FCEA07DAB1280EAEBAC,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,9052,17462
ADD,3,evidence/2026-08-25/ADD/iteration_views/iteration_003.txt,8410,72BCD95FFA6DF76365A5C34A517B8F0A2996372B4C3529CED661D42E3145DC79,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,17466,25876
ADD,4,evidence/2026-08-25/ADD/iteration_views/iteration_004.txt,8410,4ED2B56A4AD375C44F437A5B429081A584D0A851F0EBA26EDCBF07CCEDCA4669,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,25880,34290
ADD,5,evidence/2026-08-25/ADD/iteration_views/iteration_005.txt,8410,A3573809D2F762E99DF4E23CB5C597CE52FBF7EE9C8886FF1BAA25DB6BF5E415,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,34294,42704
ADD,6,evidence/2026-08-25/ADD/iteration_views/iteration_006.txt,8410,27FE019B206EBF713EFD9663D8B9B5519622E2C24B2B8C998324E3989D2F10FF,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,42708,51118
ADD,7,evidence/2026-08-25/ADD/iteration_views/iteration_007.txt,8410,41D078958296085D3733753EC92BC2290A4C985377BDE150AC3AA91FE6A5D1CA,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,51122,59532
ADD,8,evidence/2026-08-25/ADD/iteration_views/iteration_008.txt,8410,28E5DE782595470867A27B328F69D6ADA5D0CCDA90F2FD61CE230094519E9E44,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,59536,67946
ADD,9,evidence/2026-08-25/ADD/iteration_views/iteration_009.txt,8410,B0015CA5812181422A4E09967B72FAE1B062182485E8D3D1B62205537EEA4B7D,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,67950,76360
ADD,10,evidence/2026-08-25/ADD/iteration_views/iteration_010.txt,8411,15C7B6BF600CA1778F2329A0D0730D8C2E7094E4A5F5C597586312D5CC0521E1,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,76364,84775
ADD,11,evidence/2026-08-25/ADD/iteration_views/iteration_011.txt,8411,FB01DE9383B0F91300C03768974CB2D8DDE8E7C780FA303AD63977BF21DFF29F,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,84779,93190
ADD,12,evidence/2026-08-25/ADD/iteration_views/iteration_012.txt,8411,A7B87CBA57851FAF73C0A54835FCE09E7F63857C3C7393971BC06DD133F3B7CE,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,93194,101605
ADD,13,evidence/2026-08-25/ADD/iteration_views/iteration_013.txt,8411,6BBA620A8DC69E48E6BBD3CE9B5B202B5A94039BC367A483EF1B796EB8D260E3,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,101609,110020
ADD,14,evidence/2026-08-25/ADD/iteration_views/iteration_014.txt,8411,AC36F56E072426BA506E9EC8CCA2273AEA65C1B3A50647B80D4DC9DBE0A9771D,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,110024,118435
ADD,15,evidence/2026-08-25/ADD/iteration_views/iteration_015.txt,8411,62C6DC4813A107482A6CEFAB9148E77AE9A559FBC78DB883B2850CDE1E24F428,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,118439,126850
ADD,16,evidence/2026-08-25/ADD/iteration_views/iteration_016.txt,8411,017A91C755B0EEF0185070847134587BD8BFC32B6FA61546B7C95676A5964FAC,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,126854,135265
ADD,17,evidence/2026-08-25/ADD/iteration_views/iteration_017.txt,8411,9FF906C914D0A726886B1860DD7EE296E47BD2520A492874A319E0C00B794663,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,135269,143680
ADD,18,evidence/2026-08-25/ADD/iteration_views/iteration_018.txt,8411,69DE72F56379B9652A59312EDC06DDB27FF85E28FA4219DAD390A1C1D5DA3501,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,143684,152095
ADD,19,evidence/2026-08-25/ADD/iteration_views/iteration_019.txt,8411,49DE17F9534CFAF710FA729CD453D856814ED16FD50B15E68B5435E196221EF9,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,152099,160510
ADD,20,evidence/2026-08-25/ADD/iteration_views/iteration_020.txt,8411,FD27A058A85627CF89E0F04C235E30C0799D26207A86B4F5288E95C832A36C93,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,160514,168925
ADD,21,evidence/2026-08-25/ADD/iteration_views/iteration_021.txt,8411,880716BB07B137DA93898230792DE32EB1D0D7CFB15E90D20ED7924D3D97885F,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,168929,177340
ADD,22,evidence/2026-08-25/ADD/iteration_views/iteration_022.txt,8411,85D6DC4925907781326A275CBC797A26FEF03E8AB02CA6533133E71F44C02376,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,177344,185755
ADD,23,evidence/2026-08-25/ADD/iteration_views/iteration_023.txt,8411,28E148C8392C6EE0CE398205F14F4EBAF702A02EE444E31E5427DE24D310F850,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,185759,194170
ADD,24,evidence/2026-08-25/ADD/iteration_views/iteration_024.txt,8411,13AAC29725E42E40AD7E5292724FA7990CFF8B859509BF0B306B6889BCA0B287,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,194174,202585
ADD,25,evidence/2026-08-25/ADD/iteration_views/iteration_025.txt,8411,443148CE04A09E4977894C79F50B84C47EE525E2162ABDE4692E706E10AF21EE,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,202589,211000
ADD,26,evidence/2026-08-25/ADD/iteration_views/iteration_026.txt,8411,7D423858C2E189950C2FE7E5DCE857DE9FE9BA6DFA98257CAA02E89B9B87A90C,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,211004,219415
ADD,27,evidence/2026-08-25/ADD/iteration_views/iteration_027.txt,8411,2F69CD5516042D5816B6C17E0411C370A6DF520CB22C42DAAA1AF511E2DD2FC6,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,219419,227830
ADD,28,evidence/2026-08-25/ADD/iteration_views/iteration_028.txt,8411,3A3A644A21D4792B81E8955B3DE103D87D8D6A8782BFF86D16A32892D814BDDE,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,227834,236245
ADD,29,evidence/2026-08-25/ADD/iteration_views/iteration_029.txt,8411,977805D44250A2B212C04515756603A96FCA6F0C6CA7D4DEDCED82268BA58E53,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,236249,244660
ADD,30,evidence/2026-08-25/ADD/iteration_views/iteration_030.txt,8411,BB3EB939DD99B51C4280A64DA4DDAAE866F6ABFFE59859AD90145C93E244A1D4,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,244664,253075
ADD,31,evidence/2026-08-25/ADD/iteration_views/iteration_031.txt,8411,6FBAEC13BAD7BECA801EFDAF5A6B70E6DAE4FD91B8733BA2A57AD9F099AF846F,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,253079,261490
ADD,32,evidence/2026-08-25/ADD/iteration_views/iteration_032.txt,8411,918FAE24F7835BF26FCCAAAD96C7F3C0C9175CD852DF58173736C30D25F72C8D,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,261494,269905
ADD,33,evidence/2026-08-25/ADD/iteration_views/iteration_033.txt,8411,AA777FC8AF742421EB994AB6DC565AEE2A97C8397E8C727B8FE312EA49850DAF,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,269909,278320
ADD,34,evidence/2026-08-25/ADD/iteration_views/iteration_034.txt,8411,BF3355E19E3DBD53E5B1DB22A3F7AE01C78EE42795B1D6CCCDF735A0D4F54A62,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,278324,286735
ADD,35,evidence/2026-08-25/ADD/iteration_views/iteration_035.txt,8411,7C5CA53A1F361052E2430E1BC7565A2E5DF73AB0E6B6BFDBC035513FAE5EB860,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,286739,295150
ADD,36,evidence/2026-08-25/ADD/iteration_views/iteration_036.txt,8411,7A2FD97B09D659F19145BCE03BA7810811DDD5462F7E430D755C383E70BEBA38,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,295154,303565
ADD,37,evidence/2026-08-25/ADD/iteration_views/iteration_037.txt,8411,3A64D9E54C328A54F7919C26234469621623925E2256D46E13BDA8BFC13AED54,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,303569,311980
ADD,38,evidence/2026-08-25/ADD/iteration_views/iteration_038.txt,8411,D4C0808D98BA7C4DA3967B15934863625028BA479AE888A8242AB8D4442995E2,evidence/2026-08-25/ADD/terminal_output.txt,B1C1AF3F4ADFB18D8C2DCDFA0329AEE459ACDC8B9BBF6531FCE640FD8F01EF35,311984,320395
